"Sample","Population","Country","Region"
"ERR039987","ESEA","Cambodia","Asia"
"ERR039988","SAM","Colombia","SAM"
"ERR039995","ESEA","Cambodia","Asia"
"ERR039996","ESEA","Cambodia","Asia"
"ERR039997","SAS","Bangladesh","Asia"
"ERR039998","ESEA","Cambodia","Asia"
"ERR039999","SAS","Bangladesh","Asia"
"ERR040000","ESEA","Cambodia","Asia"
"ERR040004","ESEA","Cambodia","Asia"
"ERR040006","WSEA","Thailand","Asia"
"ERR040008","ESEA","Cambodia","Asia"
"ERR040009","ESEA","Cambodia","Asia"
"ERR040013","ESEA","Cambodia","Asia"
"ERR040015","ESEA","Cambodia","Asia"
"ERR040017","ESEA","Cambodia","Asia"
"ERR040018","ESEA","Cambodia","Asia"
"ERR040022","SAS","Bangladesh","Asia"
"ERR040027","ESEA","Cambodia","Asia"
"ERR040029","ESEA","Cambodia","Asia"
"ERR040030","ESEA","Cambodia","Asia"
"ERR040032","ESEA","Cambodia","Asia"
"ERR040033","ESEA","Cambodia","Asia"
"ERR040035","ESEA","Cambodia","Asia"
"ERR040036","ESEA","Cambodia","Asia"
"ERR040037","ESEA","Cambodia","Asia"
"ERR040044","ESEA","Cambodia","Asia"
"ERR040050","ESEA","Cambodia","Asia"
"ERR042208","ESEA","Cambodia","Asia"
"ERR042209","ESEA","Cambodia","Asia"
"ERR042210","ESEA","Cambodia","Asia"
"ERR042211","ESEA","Cambodia","Asia"
"ERR042212","ESEA","Cambodia","Asia"
"ERR042214","ESEA","Cambodia","Asia"
"ERR042215","ESEA","Cambodia","Asia"
"ERR042216","ESEA","Cambodia","Asia"
"ERR042222","SAM","Colombia","SAM"
"ERR042223","SAM","Colombia","SAM"
"ERR042224","SAM","Colombia","SAM"
"ERR042226","SAM","Colombia","SAM"
"ERR042227","SAM","Colombia","SAM"
"ERR042228","SAM","Colombia","SAM"
"ERR042229","SAM","Colombia","SAM"
"ERR042230","SAM","Colombia","SAM"
"ERR042231","SAM","Colombia","SAM"
"ERR042232","SAM","Colombia","SAM"
"ERR042233","SAM","Colombia","SAM"
"ERR042234","WAF","Ghana","Africa"
"ERR042235","WAF","Ghana","Africa"
"ERR042237","WAF","Ghana","Africa"
"ERR042238","WAF","Ghana","Africa"
"ERR042239","WAF","Ghana","Africa"
"ERR042636","WAF","Ghana","Africa"
"ERR042638","WAF","Ghana","Africa"
"ERR042641","WAF","Ghana","Africa"
"ERR042645","WAF","Ghana","Africa"
"ERR042647","WAF","Ghana","Africa"
"ERR042655","ESEA","Cambodia","Asia"
"ERR042656","ESEA","Cambodia","Asia"
"ERR042658","ESEA","Cambodia","Asia"
"ERR042664","ESEA","Cambodia","Asia"
"ERR042666","ESEA","Cambodia","Asia"
"ERR042673","ESEA","Cambodia","Asia"
"ERR042679","SAM","Colombia","SAM"
"ERR042683","EAF","Malawi","Africa"
"ERR042686","EAF","Malawi","Africa"
"ERR042687","EAF","Malawi","Africa"
"ERR042690","WAF","Ghana","Africa"
"ERR042691","WAF","Ghana","Africa"
"ERR042694","WAF","Ghana","Africa"
"ERR042696","WAF","Ghana","Africa"
"ERR042701","WAF","Ghana","Africa"
"ERR042706","WAF","Ghana","Africa"
"ERR042709","WAF","Ghana","Africa"
"ERR042711","WAF","Ghana","Africa"
"ERR042713","WAF","Ghana","Africa"
"ERR042714","WAF","Ghana","Africa"
"ERR042717","WAF","Ghana","Africa"
"ERR042718","WAF","Ghana","Africa"
"ERR042721","WAF","Ghana","Africa"
"ERR042722","WAF","Ghana","Africa"
"ERR042725","WAF","Ghana","Africa"
"ERR042727","WAF","Ghana","Africa"
"ERR043311","WAF","Ghana","Africa"
"ERR043313","WAF","Ghana","Africa"
"ERR043319","ESEA","Cambodia","Asia"
"ERR043323","ESEA","Cambodia","Asia"
"ERR043324","ESEA","Cambodia","Asia"
"ERR043325","ESEA","Cambodia","Asia"
"ERR043326","ESEA","Cambodia","Asia"
"ERR043327","ESEA","Cambodia","Asia"
"ERR043329","ESEA","Cambodia","Asia"
"ERR043331","ESEA","Cambodia","Asia"
"ERR043333","ESEA","Cambodia","Asia"
"ERR045574","WAF","Ghana","Africa"
"ERR045575","WAF","Ghana","Africa"
"ERR045581","WAF","Ghana","Africa"
"ERR045582","WAF","Ghana","Africa"
"ERR045583","WAF","Ghana","Africa"
"ERR045585","WAF","Ghana","Africa"
"ERR045589","WAF","Ghana","Africa"
"ERR045592","WAF","Ghana","Africa"
"ERR045594","WAF","Ghana","Africa"
"ERR045595","WAF","Ghana","Africa"
"ERR045598","WAF","Ghana","Africa"
"ERR045599","WAF","Ghana","Africa"
"ERR045604","WAF","Ghana","Africa"
"ERR045607","WAF","Ghana","Africa"
"ERR045608","WAF","Ghana","Africa"
"ERR045609","WAF","Ghana","Africa"
"ERR045610","WAF","Ghana","Africa"
"ERR045611","WAF","Ghana","Africa"
"ERR045612","WAF","Ghana","Africa"
"ERR045614","WAF","Ghana","Africa"
"ERR045616","WAF","Ghana","Africa"
"ERR045617","WSEA","Thailand","Asia"
"ERR045618","WSEA","Thailand","Asia"
"ERR045619","WAF","Ghana","Africa"
"ERR045620","WAF","Ghana","Africa"
"ERR045621","WAF","Ghana","Africa"
"ERR045622","WAF","Ghana","Africa"
"ERR045623","WAF","Ghana","Africa"
"ERR045624","WSEA","Thailand","Asia"
"ERR045648","WSEA","Thailand","Asia"
"ERR045649","ESEA","Cambodia","Asia"
"ERR045652","ESEA","Cambodia","Asia"
"ERR045655","ESEA","Cambodia","Asia"
"ERR045656","EAF","Malawi","Africa"
"ERR045661","EAF","Malawi","Africa"
"ERR045662","EAF","Malawi","Africa"
"ERR045663","EAF","Malawi","Africa"
"ERR045666","EAF","Malawi","Africa"
"ERR054068","EAF","Malawi","Africa"
"ERR054070","EAF","Malawi","Africa"
"ERR054071","EAF","Malawi","Africa"
"ERR054074","EAF","Malawi","Africa"
"ERR054075","EAF","Malawi","Africa"
"ERR054078","EAF","Malawi","Africa"
"ERR055468","WAF","Guinea","Africa"
"ERR055473","WAF","Guinea","Africa"
"ERR055482","WAF","Guinea","Africa"
"ERR055484","WAF","Guinea","Africa"
"ERR055487","WAF","Guinea","Africa"
"ERR055492","WAF","Guinea","Africa"
"ERR055493","WAF","Guinea","Africa"
"ERR055496","WAF","Guinea","Africa"
"ERR055497","WAF","Guinea","Africa"
"ERR055499","WAF","Guinea","Africa"
"ERR055501","WAF","Guinea","Africa"
"ERR055503","WAF","Guinea","Africa"
"ERR059378","WAF","Guinea","Africa"
"ERR059380","WAF","Guinea","Africa"
"ERR059381","WAF","Guinea","Africa"
"ERR059382","WAF","Guinea","Africa"
"ERR059387","WAF","Guinea","Africa"
"ERR059392","WAF","Guinea","Africa"
"ERR059396","WAF","Guinea","Africa"
"ERR059397","WAF","Guinea","Africa"
"ERR059399","WAF","Guinea","Africa"
"ERR059402","WAF","Guinea","Africa"
"ERR059403","WAF","Guinea","Africa"
"ERR059404","WAF","Guinea","Africa"
"ERR059407","WAF","Guinea","Africa"
"ERR059409","WAF","Guinea","Africa"
"ERR059411","WAF","Guinea","Africa"
"ERR063529","WAF","Guinea","Africa"
"ERR063531","WAF","Guinea","Africa"
"ERR063533","WAF","Guinea","Africa"
"ERR063534","WAF","Guinea","Africa"
"ERR063535","WAF","Guinea","Africa"
"ERR063537","WAF","Guinea","Africa"
"ERR063539","WAF","Guinea","Africa"
"ERR063540","WAF","Guinea","Africa"
"ERR063541","WAF","Guinea","Africa"
"ERR063542","WAF","Guinea","Africa"
"ERR063543","WAF","Guinea","Africa"
"ERR063544","WAF","Guinea","Africa"
"ERR063547","WAF","Guinea","Africa"
"ERR063549","WAF","Guinea","Africa"
"ERR063550","WAF","Guinea","Africa"
"ERR063551","WAF","Guinea","Africa"
"ERR063552","WAF","Guinea","Africa"
"ERR063553","WAF","Guinea","Africa"
"ERR063554","WAF","Guinea","Africa"
"ERR063557","WAF","Guinea","Africa"
"ERR063561","WAF","Ghana","Africa"
"ERR063564","WAF","Ghana","Africa"
"ERR063565","WAF","Ghana","Africa"
"ERR063566","WAF","Ghana","Africa"
"ERR063567","WAF","Ghana","Africa"
"ERR063570","WAF","Ghana","Africa"
"ERR063571","EAF","Uganda","Africa"
"ERR063574","EAF","Uganda","Africa"
"ERR063577","EAF","Uganda","Africa"
"ERR063578","EAF","Uganda","Africa"
"ERR063580","EAF","Uganda","Africa"
"ERR063584","ESEA","Cambodia","Asia"
"ERR063585","ESEA","Cambodia","Asia"
"ERR063586","ESEA","Cambodia","Asia"
"ERR063589","ESEA","Cambodia","Asia"
"ERR063590","ESEA","Cambodia","Asia"
"ERR063591","ESEA","Cambodia","Asia"
"ERR063595","WAF","Guinea","Africa"
"ERR063596","WAF","Guinea","Africa"
"ERR063598","WAF","Guinea","Africa"
"ERR063600","WAF","Guinea","Africa"
"ERR063603","WAF","Guinea","Africa"
"ERR063606","WAF","Guinea","Africa"
"ERR063607","WAF","Guinea","Africa"
"ERR063613","WAF","Guinea","Africa"
"ERR063617","WAF","Guinea","Africa"
"ERR063618","ESEA","Cambodia","Asia"
"ERR063619","ESEA","Cambodia","Asia"
"ERR063620","ESEA","Cambodia","Asia"
"ERR063622","ESEA","Cambodia","Asia"
"ERR063623","ESEA","Cambodia","Asia"
"ERR063625","ESEA","Cambodia","Asia"
"ERR063629","ESEA","Cambodia","Asia"
"ERR063630","ESEA","Cambodia","Asia"
"ERR063631","ESEA","Cambodia","Asia"
"ERR063632","ESEA","Cambodia","Asia"
"ERR063633","ESEA","Cambodia","Asia"
"ERR063634","ESEA","Cambodia","Asia"
"ERR063635","ESEA","Cambodia","Asia"
"ERR063637","ESEA","Cambodia","Asia"
"ERR063639","ESEA","Cambodia","Asia"
"ERR067564","ESEA","Cambodia","Asia"
"ERR067565","ESEA","Cambodia","Asia"
"ERR067566","ESEA","Cambodia","Asia"
"ERR067568","ESEA","Cambodia","Asia"
"ERR067569","ESEA","Cambodia","Asia"
"ERR067571","ESEA","Cambodia","Asia"
"ERR067572","ESEA","Cambodia","Asia"
"ERR067573","ESEA","Cambodia","Asia"
"ERR067574","ESEA","Cambodia","Asia"
"ERR069568","EAF","Malawi","Africa"
"ERR069573","EAF","Malawi","Africa"
"ERR072003","EAF","Malawi","Africa"
"ERR072005","EAF","Malawi","Africa"
"ERR072006","EAF","Malawi","Africa"
"ERR072008","EAF","Malawi","Africa"
"ERR072012","EAF","Malawi","Africa"
"ERR1035493","EAF","Ethiopia","Africa"
"ERR1035536","EAF","Ethiopia","Africa"
"ERR1045266","EAF","Ethiopia","Africa"
"ERR1045267","EAF","Ethiopia","Africa"
"ERR1045271","EAF","Ethiopia","Africa"
"ERR1045283","EAF","Ethiopia","Africa"
"ERR1045286","EAF","Ethiopia","Africa"
"ERR1045287","EAF","Ethiopia","Africa"
"ERR1045288","EAF","Ethiopia","Africa"
"ERR1045295","EAF","Ethiopia","Africa"
"ERR1045302","WAF","Mali","Africa"
"ERR1045303","WAF","Mali","Africa"
"ERR1045304","WAF","Mali","Africa"
"ERR1045306","WAF","Mali","Africa"
"ERR1045307","WAF","Mali","Africa"
"ERR1045308","WAF","Mali","Africa"
"ERR1045310","WAF","Mali","Africa"
"ERR1045311","WAF","Mali","Africa"
"ERR1045317","WAF","Mali","Africa"
"ERR1045319","WAF","Mali","Africa"
"ERR1045320","WAF","Mali","Africa"
"ERR1045322","WAF","Mali","Africa"
"ERR1063589","WAF","Mali","Africa"
"ERR1063591","WAF","Mali","Africa"
"ERR1063593","WAF","Mali","Africa"
"ERR1063595","WAF","Mali","Africa"
"ERR1063596","WAF","Mali","Africa"
"ERR1063597","WAF","Mali","Africa"
"ERR1063598","WAF","Mali","Africa"
"ERR1063603","WAF","Mali","Africa"
"ERR1063604","WAF","Mali","Africa"
"ERR1063605","WAF","Mali","Africa"
"ERR1063606","WAF","Mali","Africa"
"ERR1063607","WAF","Mali","Africa"
"ERR1063608","WAF","Mali","Africa"
"ERR1063609","WAF","Mali","Africa"
"ERR1063612","WAF","Mali","Africa"
"ERR1063613","WAF","Mali","Africa"
"ERR1063614","WAF","Mali","Africa"
"ERR1063615","WAF","Mali","Africa"
"ERR1063616","WAF","Mali","Africa"
"ERR1081167","WAF","Senegal","Africa"
"ERR1081171","WAF","Senegal","Africa"
"ERR1081172","WAF","Senegal","Africa"
"ERR1081173","WAF","Senegal","Africa"
"ERR1081174","WAF","Senegal","Africa"
"ERR1081175","WAF","Senegal","Africa"
"ERR1081176","WAF","Senegal","Africa"
"ERR1081178","WAF","Senegal","Africa"
"ERR1081179","WAF","Senegal","Africa"
"ERR1081180","WAF","Senegal","Africa"
"ERR1081181","WAF","Senegal","Africa"
"ERR1081184","WAF","Senegal","Africa"
"ERR1081185","WAF","Senegal","Africa"
"ERR1081186","WAF","Senegal","Africa"
"ERR1081187","WAF","Senegal","Africa"
"ERR1081189","WAF","Senegal","Africa"
"ERR1081190","WAF","Senegal","Africa"
"ERR1081191","WAF","Senegal","Africa"
"ERR1081192","WAF","Senegal","Africa"
"ERR1081194","WAF","Gambia","Africa"
"ERR1081195","WAF","Gambia","Africa"
"ERR1081197","WAF","Gambia","Africa"
"ERR1081205","WAF","Gambia","Africa"
"ERR1081206","WAF","Gambia","Africa"
"ERR1081207","WAF","Gambia","Africa"
"ERR1081211","WAF","Gambia","Africa"
"ERR1081212","WAF","Gambia","Africa"
"ERR1081213","WAF","Gambia","Africa"
"ERR1081219","WAF","Gambia","Africa"
"ERR1081224","WAF","Gambia","Africa"
"ERR1081231","WAF","Gambia","Africa"
"ERR1081233","WAF","Gambia","Africa"
"ERR1081235","WAF","Gambia","Africa"
"ERR1081238","WAF","Mauritania","Africa"
"ERR1081242","WAF","Mauritania","Africa"
"ERR1081243","WAF","Mauritania","Africa"
"ERR1081244","WAF","Mauritania","Africa"
"ERR1081245","WAF","Mauritania","Africa"
"ERR1081246","WAF","Mauritania","Africa"
"ERR1081247","WAF","Mauritania","Africa"
"ERR1081249","WAF","Mauritania","Africa"
"ERR1081250","WAF","Mauritania","Africa"
"ERR1081252","WAF","Mauritania","Africa"
"ERR1081253","WAF","Mauritania","Africa"
"ERR1081259","WAF","Mauritania","Africa"
"ERR1081260","WAF","Mauritania","Africa"
"ERR1081262","WAF","Mauritania","Africa"
"ERR1081263","WAF","Mauritania","Africa"
"ERR1081266","WAF","Mauritania","Africa"
"ERR1081268","WAF","Mauritania","Africa"
"ERR1081269","WAF","Mauritania","Africa"
"ERR1081270","WAF","Mauritania","Africa"
"ERR1081273","WAF","Mauritania","Africa"
"ERR1081274","WAF","Mauritania","Africa"
"ERR1081275","WAF","Mauritania","Africa"
"ERR1081276","WAF","Mauritania","Africa"
"ERR1081277","WAF","Mauritania","Africa"
"ERR1081281","WAF","Mauritania","Africa"
"ERR1081282","WAF","Mauritania","Africa"
"ERR1081285","WAF","Mauritania","Africa"
"ERR1081286","WAF","Mauritania","Africa"
"ERR1081287","WAF","Mauritania","Africa"
"ERR108409","EAF","Malawi","Africa"
"ERR1099196","WAF","Gambia","Africa"
"ERR1099198","WAF","Gambia","Africa"
"ERR1099199","WAF","Gambia","Africa"
"ERR1099201","WAF","Gambia","Africa"
"ERR1099204","WAF","Gambia","Africa"
"ERR1099205","WAF","Gambia","Africa"
"ERR1099207","WAF","Gambia","Africa"
"ERR1099210","WAF","Mauritania","Africa"
"ERR1099211","WAF","Mauritania","Africa"
"ERR1099212","WAF","Mauritania","Africa"
"ERR1099213","WAF","Mauritania","Africa"
"ERR1099217","WAF","Mauritania","Africa"
"ERR1106506","WAF","Gambia","Africa"
"ERR1106507","WAF","Gambia","Africa"
"ERR1106508","WAF","Gambia","Africa"
"ERR1106511","WAF","Gambia","Africa"
"ERR1106513","WAF","Gambia","Africa"
"ERR1106514","WAF","Gambia","Africa"
"ERR1106516","WAF","Gambia","Africa"
"ERR1106519","WAF","Gambia","Africa"
"ERR1106520","WAF","Gambia","Africa"
"ERR1106521","WAF","Gambia","Africa"
"ERR1106523","WAF","Gambia","Africa"
"ERR1106524","WAF","Gambia","Africa"
"ERR1106525","WAF","Gambia","Africa"
"ERR1106527","WAF","Gambia","Africa"
"ERR1106528","WAF","Gambia","Africa"
"ERR1106530","WAF","Gambia","Africa"
"ERR1106532","WAF","Gambia","Africa"
"ERR1106533","WAF","Gambia","Africa"
"ERR1106535","WAF","Gambia","Africa"
"ERR1106536","WAF","Gambia","Africa"
"ERR1106537","WAF","Gambia","Africa"
"ERR1106538","WAF","Gambia","Africa"
"ERR1106540","WAF","Gambia","Africa"
"ERR1106541","WAF","Gambia","Africa"
"ERR1106542","WAF","Gambia","Africa"
"ERR1106543","WAF","Gambia","Africa"
"ERR1106544","WAF","Gambia","Africa"
"ERR1106545","WAF","Gambia","Africa"
"ERR1106546","WAF","Gambia","Africa"
"ERR1106549","WAF","Mauritania","Africa"
"ERR1106550","WAF","Mauritania","Africa"
"ERR1106551","WAF","Mauritania","Africa"
"ERR1106553","WAF","Mauritania","Africa"
"ERR1106556","WAF","Mauritania","Africa"
"ERR1106561","WAF","Mauritania","Africa"
"ERR1106566","WAF","Mauritania","Africa"
"ERR1106568","WAF","Mauritania","Africa"
"ERR1106572","WAF","Mauritania","Africa"
"ERR1106575","EAF","Ethiopia","Africa"
"ERR1106577","EAF","Ethiopia","Africa"
"ERR1106579","EAF","Ethiopia","Africa"
"ERR1106581","EAF","Ethiopia","Africa"
"ERR1106582","EAF","Ethiopia","Africa"
"ERR1106586","EAF","Ethiopia","Africa"
"ERR1106587","EAF","Ethiopia","Africa"
"ERR1106590","EAF","Ethiopia","Africa"
"ERR1106606","EAF","Ethiopia","Africa"
"ERR1106612","ESEA","Cambodia","Asia"
"ERR1106613","ESEA","Cambodia","Asia"
"ERR1106615","ESEA","Cambodia","Asia"
"ERR1106616","ESEA","Cambodia","Asia"
"ERR1106618","ESEA","Cambodia","Asia"
"ERR1106619","ESEA","Cambodia","Asia"
"ERR1106621","ESEA","Cambodia","Asia"
"ERR1138759","WAF","Gambia","Africa"
"ERR1138760","WAF","Gambia","Africa"
"ERR1138764","WAF","Gambia","Africa"
"ERR1138765","WAF","Gambia","Africa"
"ERR1138766","WAF","Gambia","Africa"
"ERR1138767","WAF","Gambia","Africa"
"ERR1138768","WAF","Gambia","Africa"
"ERR1138769","WAF","Gambia","Africa"
"ERR1138770","WAF","Gambia","Africa"
"ERR1138772","WAF","Gambia","Africa"
"ERR1138773","WAF","Gambia","Africa"
"ERR1138775","WAF","Gambia","Africa"
"ERR1138777","WAF","Gambia","Africa"
"ERR1138781","WAF","Gambia","Africa"
"ERR1138790","WAF","Gambia","Africa"
"ERR1138794","WAF","Gambia","Africa"
"ERR1138797","WAF","Gambia","Africa"
"ERR1138801","WAF","Gambia","Africa"
"ERR1138803","WAF","Gambia","Africa"
"ERR114340","SAM","Peru","SAM"
"ERR114341","ESEA","Cambodia","Asia"
"ERR114344","ESEA","Cambodia","Asia"
"ERR114347","ESEA","Cambodia","Asia"
"ERR114348","ESEA","Cambodia","Asia"
"ERR114349","ESEA","Cambodia","Asia"
"ERR114350","ESEA","Cambodia","Asia"
"ERR114353","EAF","Malawi","Africa"
"ERR114358","WAF","Ghana","Africa"
"ERR114360","EAF","Malawi","Africa"
"ERR114362","WAF","Ghana","Africa"
"ERR114366","WAF","Ghana","Africa"
"ERR114367","WAF","Ghana","Africa"
"ERR114384","WAF","Ghana","Africa"
"ERR114386","EAF","Malawi","Africa"
"ERR114388","WAF","Ghana","Africa"
"ERR114390","EAF","Malawi","Africa"
"ERR114392","EAF","Malawi","Africa"
"ERR114394","EAF","Malawi","Africa"
"ERR114395","EAF","Malawi","Africa"
"ERR114399","EAF","Malawi","Africa"
"ERR114402","EAF","Malawi","Africa"
"ERR114405","WAF","Ghana","Africa"
"ERR114406","WAF","Ghana","Africa"
"ERR114407","WAF","Ghana","Africa"
"ERR114409","WAF","Ghana","Africa"
"ERR1172488","WAF","Gambia","Africa"
"ERR1172489","WAF","Gambia","Africa"
"ERR1172491","WAF","Gambia","Africa"
"ERR1172499","WAF","Gambia","Africa"
"ERR1172503","WAF","Gambia","Africa"
"ERR1172506","ESEA","Cambodia","Asia"
"ERR1172508","ESEA","Cambodia","Asia"
"ERR1172509","ESEA","Cambodia","Asia"
"ERR1172511","ESEA","Cambodia","Asia"
"ERR1172513","ESEA","Cambodia","Asia"
"ERR1172515","ESEA","Cambodia","Asia"
"ERR1172516","ESEA","Cambodia","Asia"
"ERR1172517","ESEA","Cambodia","Asia"
"ERR1172518","ESEA","Cambodia","Asia"
"ERR1172520","ESEA","Cambodia","Asia"
"ERR1172522","ESEA","Cambodia","Asia"
"ERR1172524","ESEA","Cambodia","Asia"
"ERR1172525","ESEA","Cambodia","Asia"
"ERR1172528","ESEA","Cambodia","Asia"
"ERR1172530","ESEA","Cambodia","Asia"
"ERR1172531","ESEA","Cambodia","Asia"
"ERR1172532","ESEA","Cambodia","Asia"
"ERR1172534","ESEA","Cambodia","Asia"
"ERR1172535","ESEA","Cambodia","Asia"
"ERR1172536","ESEA","Cambodia","Asia"
"ERR1172543","ESEA","Cambodia","Asia"
"ERR1172545","ESEA","Cambodia","Asia"
"ERR1172550","ESEA","Cambodia","Asia"
"ERR1172552","ESEA","Cambodia","Asia"
"ERR1172553","ESEA","Cambodia","Asia"
"ERR1172554","ESEA","Cambodia","Asia"
"ERR1172556","ESEA","Cambodia","Asia"
"ERR1172557","ESEA","Cambodia","Asia"
"ERR1172558","ESEA","Cambodia","Asia"
"ERR1172559","ESEA","Cambodia","Asia"
"ERR1172560","ESEA","Cambodia","Asia"
"ERR1172561","ESEA","Cambodia","Asia"
"ERR1172563","ESEA","Cambodia","Asia"
"ERR1172564","ESEA","Cambodia","Asia"
"ERR1172572","ESEA","Cambodia","Asia"
"ERR1172573","ESEA","Cambodia","Asia"
"ERR1172579","ESEA","Cambodia","Asia"
"ERR1172581","ESEA","Cambodia","Asia"
"ERR1172583","ESEA","Cambodia","Asia"
"ERR1172584","ESEA","Cambodia","Asia"
"ERR1172586","ESEA","Cambodia","Asia"
"ERR1172587","ESEA","Cambodia","Asia"
"ERR1172588","WAF","Nigeria","Africa"
"ERR1172589","WAF","Nigeria","Africa"
"ERR1172590","WAF","Nigeria","Africa"
"ERR1172592","WAF","Nigeria","Africa"
"ERR1172594","WAF","Nigeria","Africa"
"ERR1172595","WAF","Nigeria","Africa"
"ERR1172603","WAF","Nigeria","Africa"
"ERR1172604","WAF","Nigeria","Africa"
"ERR1172605","WAF","Nigeria","Africa"
"ERR1172606","WAF","Nigeria","Africa"
"ERR1172607","WAF","Nigeria","Africa"
"ERR1172608","WAF","Nigeria","Africa"
"ERR1172609","WAF","Nigeria","Africa"
"ERR1172610","WAF","Nigeria","Africa"
"ERR1172611","WAF","Nigeria","Africa"
"ERR1172615","WAF","Nigeria","Africa"
"ERR1172617","WAF","Nigeria","Africa"
"ERR1214127","WAF","Ghana","Africa"
"ERR1214132","WAF","Ghana","Africa"
"ERR1214137","WAF","Ghana","Africa"
"ERR1214140","WAF","Ghana","Africa"
"ERR1214142","WAF","Ghana","Africa"
"ERR1214143","WAF","Ghana","Africa"
"ERR1214147","WAF","Ghana","Africa"
"ERR1214148","WAF","Ghana","Africa"
"ERR1214150","WAF","Ghana","Africa"
"ERR1214154","WAF","Ghana","Africa"
"ERR1214156","WAF","Ghana","Africa"
"ERR1214160","WAF","Ghana","Africa"
"ERR1214161","WAF","Ghana","Africa"
"ERR1214166","WAF","Ghana","Africa"
"ERR1214167","WAF","Ghana","Africa"
"ERR1214170","WAF","Ghana","Africa"
"ERR1214174","WAF","Ghana","Africa"
"ERR1214175","WAF","Ghana","Africa"
"ERR1214183","WAF","Ghana","Africa"
"ERR1214187","WAF","Ghana","Africa"
"ERR1214190","WAF","Ghana","Africa"
"ERR1214197","WAF","Ghana","Africa"
"ERR1214198","WAF","Ghana","Africa"
"ERR1214225","WAF","Nigeria","Africa"
"ERR1214226","WAF","Nigeria","Africa"
"ERR1215358","WSEA","Myanmar","Asia"
"ERR1215359","WSEA","Myanmar","Asia"
"ERR1215360","WSEA","Myanmar","Asia"
"ERR1215361","WSEA","Myanmar","Asia"
"ERR1215362","WSEA","Myanmar","Asia"
"ERR1215363","WSEA","Myanmar","Asia"
"ERR1215365","WSEA","Myanmar","Asia"
"ERR1215368","WSEA","Myanmar","Asia"
"ERR1215370","WSEA","Myanmar","Asia"
"ERR1215371","WSEA","Myanmar","Asia"
"ERR1215372","WSEA","Myanmar","Asia"
"ERR1215373","WSEA","Myanmar","Asia"
"ERR1215374","WSEA","Myanmar","Asia"
"ERR1215375","WSEA","Myanmar","Asia"
"ERR1215376","WSEA","Myanmar","Asia"
"ERR1215377","WSEA","Myanmar","Asia"
"ERR1215378","WSEA","Myanmar","Asia"
"ERR1215379","WSEA","Myanmar","Asia"
"ERR1215380","WSEA","Myanmar","Asia"
"ERR1215381","WSEA","Myanmar","Asia"
"ERR1215382","WSEA","Myanmar","Asia"
"ERR1215383","WSEA","Myanmar","Asia"
"ERR1215385","WSEA","Myanmar","Asia"
"ERR1215388","WSEA","Myanmar","Asia"
"ERR1215389","WSEA","Myanmar","Asia"
"ERR1215390","WSEA","Myanmar","Asia"
"ERR1215391","WSEA","Myanmar","Asia"
"ERR1215394","WSEA","Myanmar","Asia"
"ERR1215395","WSEA","Myanmar","Asia"
"ERR1215396","WSEA","Myanmar","Asia"
"ERR123809","ESEA","Cambodia","Asia"
"ERR123810","ESEA","Cambodia","Asia"
"ERR123811","ESEA","Cambodia","Asia"
"ERR123812","ESEA","Cambodia","Asia"
"ERR123813","ESEA","Cambodia","Asia"
"ERR123814","ESEA","Cambodia","Asia"
"ERR123816","ESEA","Cambodia","Asia"
"ERR123817","ESEA","Cambodia","Asia"
"ERR123818","ESEA","Cambodia","Asia"
"ERR123819","ESEA","Cambodia","Asia"
"ERR123820","ESEA","Cambodia","Asia"
"ERR123821","ESEA","Cambodia","Asia"
"ERR123823","ESEA","Cambodia","Asia"
"ERR123824","ESEA","Cambodia","Asia"
"ERR123827","ESEA","Cambodia","Asia"
"ERR123828","ESEA","Cambodia","Asia"
"ERR123829","ESEA","Cambodia","Asia"
"ERR123834","ESEA","Cambodia","Asia"
"ERR123836","ESEA","Cambodia","Asia"
"ERR123840","ESEA","Cambodia","Asia"
"ERR123842","ESEA","Cambodia","Asia"
"ERR123843","ESEA","Cambodia","Asia"
"ERR123844","ESEA","Cambodia","Asia"
"ERR123845","ESEA","Cambodia","Asia"
"ERR123847","ESEA","Cambodia","Asia"
"ERR123850","ESEA","Cambodia","Asia"
"ERR123851","ESEA","Cambodia","Asia"
"ERR123854","ESEA","Cambodia","Asia"
"ERR123855","ESEA","Cambodia","Asia"
"ERR123856","ESEA","Cambodia","Asia"
"ERR123857","ESEA","Cambodia","Asia"
"ERR123858","ESEA","Cambodia","Asia"
"ERR123859","ESEA","Cambodia","Asia"
"ERR123863","ESEA","Cambodia","Asia"
"ERR123864","ESEA","Cambodia","Asia"
"ERR123865","ESEA","Cambodia","Asia"
"ERR123866","ESEA","Cambodia","Asia"
"ERR123871","ESEA","Cambodia","Asia"
"ERR123873","ESEA","Cambodia","Asia"
"ERR123876","ESEA","Cambodia","Asia"
"ERR123877","ESEA","Cambodia","Asia"
"ERR123878","ESEA","Cambodia","Asia"
"ERR123879","ESEA","Cambodia","Asia"
"ERR123883","ESEA","Cambodia","Asia"
"ERR123884","ESEA","Cambodia","Asia"
"ERR123887","ESEA","Cambodia","Asia"
"ERR123888","ESEA","Cambodia","Asia"
"ERR123889","ESEA","Cambodia","Asia"
"ERR123890","ESEA","Cambodia","Asia"
"ERR123892","ESEA","Cambodia","Asia"
"ERR123895","ESEA","Cambodia","Asia"
"ERR123896","ESEA","Cambodia","Asia"
