"Sample","PC1","PC2","PC3","Sample_id","Country","Year","Country_Origin"
"ERR527355",18.3668154578067,-1.11421467506753,6.49868247478943,"PD0678-C","Thailand",2011,"Thailand"
"ERR527362",18.7868520544284,-0.957064310636321,6.96403333842432,"PD0696-C","Thailand",2012,"Thailand"
"ERR527363",14.739111471807,0.0394788007625431,-12.2085319284971,"PY0019-C","Malaysia",2013,"Malaysia"
"ERR527364",16.309423291098,-0.34294379378962,3.42211698722652,"PD0686-C","Thailand",2007,"Thailand"
"ERR527366",14.2731395778367,0.790685401137025,2.89626408245883,"PD0688-C","Thailand",2011,"Thailand"
"ERR527367",18.0272629973831,-1.11058928180165,6.04664462484831,"PD0690-C","Thailand",2011,"Thailand"
"ERR527368",17.2210480865074,0.997653067201483,2.44487660715225,"PD0714-C","Thailand",2012,"Thailand"
"ERR527369",17.5509866218146,-0.716541770950202,2.52076893079733,"PD0692-C","Thailand",2011,"Thailand"
"ERR527370",18.2039779147487,-0.546275262246703,6.11742498286908,"PD0681-C","Thailand",2007,"Thailand"
"ERR527372",16.4647405367876,-0.454776686184765,3.64749850264114,"PD0694-C","Thailand",2011,"Thailand"
"ERR527373",11.998138974336,0.0898392944592406,-34.1584971344663,"PJ0167-C","Indonesia",2013,"Indonesia"
"ERR527375",17.4440484985572,0.101532387431119,5.67424324686012,"PD0708-C","Thailand",2011,"Thailand"
"ERR527376",18.7092664861637,-0.743007434420698,5.71389348286738,"PD0697-C","Thailand",2006,"Thailand"
"ERR527378",17.1851641462915,-0.534544916076488,4.03085982925552,"PD0689-C","Thailand",2011,"Thailand"
"ERR527380",15.7808568693612,-0.691452615641826,4.18922873032762,"PD0702-C","Thailand",2013,"Thailand"
"ERR527382",16.1353593603743,-0.00946426639988838,4.55737558713385,"PD0704-C","Thailand",2013,"Thailand"
"ERR527384",17.4507068171489,-1.2698000571589,5.8153613361066,"PD0695-C","Thailand",2011,"Thailand"
"ERR527385",17.0282388218279,0.113524457700932,5.40517991806579,"PD0707-C","Thailand",2007,"Thailand"
"ERR527450",9.84432330885788,-0.597615091756424,-35.2293301971642,"PN0163-C","PNG",2013,"Papua New Guinea"
"ERR527453",9.05105298177334,-0.02671475137327,-31.9526944577181,"PN0183-C","PNG",2013,"Papua New Guinea"
"ERR527467",7.80465921974017,-0.671317807895637,-31.6099576983048,"PN0157-C","PNG",2013,"Papua New Guinea"
"ERR586226",16.8093636770606,-0.333045822505754,-0.576997968963389,"PH1111-C","Cambodia",2012,"Cambodia"
"SRR1562513",-20.0976183176001,9.02892819379624,1.0240531152089,"Peru09","Peru",NA,"Peru"
"SRR1562516",10.2242856554177,-1.54605962561333,3.17815733886769,"Myanmar_LZCH-36","Myanmar",NA,"Myanmar"
"SRR1562518",-21.3204642497378,4.88276292250643,-0.249610562450364,"Colombia_30102100487","Colombia",2013,"Colombia"
"SRR1562519",-19.8487919364131,10.14112943974,1.69712652010064,"DTS_0791","Peru",NA,"Peru"
"SRR1562521",-17.9999629128076,7.91203853844494,0.402301659349817,"Peru10","Peru",NA,"Peru"
"SRR1562522",-24.9850753909245,-29.3444287278586,0.00847670489926124,"Mexico_8302","Mexico",2002,"Mexico"
"SRR1562524",-18.4714389210474,2.24265629075804,1.02921205088877,"Colombia_30101099038","Colombia",2012,"Colombia"
