"STRid","Pop"
"FALCIPARUM_STR_84610","Benin-Thailand"
"FALCIPARUM_STR_100098","Benin-Thailand"
"FALCIPARUM_STR_79477","Benin-Thailand"
"FALCIPARUM_STR_64764","Benin-Thailand"
"FALCIPARUM_STR_40112","Benin-Thailand"
"FALCIPARUM_STR_95714","Benin-Thailand"
"FALCIPARUM_STR_80238","Benin-Thailand"
"FALCIPARUM_STR_51591","Benin-Thailand"
"FALCIPARUM_STR_95714","Benin-VietNam"
"FALCIPARUM_STR_10532","Benin-VietNam"
"FALCIPARUM_STR_28375","Benin-VietNam"
"FALCIPARUM_STR_28730","Benin-VietNam"
"FALCIPARUM_STR_79477","Benin-VietNam"
"FALCIPARUM_STR_33953","Benin-VietNam"
"FALCIPARUM_STR_19579","Benin-VietNam"
"FALCIPARUM_STR_95385","Benin-VietNam"
"FALCIPARUM_STR_73617","Benin-VietNam"
"FALCIPARUM_STR_99848","Benin-VietNam"
"FALCIPARUM_STR_28816","Cambodia-Bangladesh"
"FALCIPARUM_STR_28458","Cambodia-Bangladesh"
"FALCIPARUM_STR_28415","Cambodia-Bangladesh"
"FALCIPARUM_STR_28318","Cambodia-Bangladesh"
"FALCIPARUM_STR_28819","Cambodia-Bangladesh"
"FALCIPARUM_STR_21806","Cambodia-Bangladesh"
"FALCIPARUM_STR_101066","Cambodia-Bangladesh"
"FALCIPARUM_STR_89434","Cambodia-Bangladesh"
"FALCIPARUM_STR_58910","Cambodia-Bangladesh"
"FALCIPARUM_STR_45145","Cambodia-Bangladesh"
"FALCIPARUM_STR_10532","Cambodia-Colombia"
"FALCIPARUM_STR_10835","Cambodia-Colombia"
"FALCIPARUM_STR_21390","Cambodia-Colombia"
"FALCIPARUM_STR_28375","Cambodia-Colombia"
"FALCIPARUM_STR_28381","Cambodia-Colombia"
"FALCIPARUM_STR_28446","Cambodia-Colombia"
"FALCIPARUM_STR_28756","Cambodia-Colombia"
"FALCIPARUM_STR_28798","Cambodia-Colombia"
"FALCIPARUM_STR_28816","Cambodia-Colombia"
"FALCIPARUM_STR_31262","Cambodia-Colombia"
"FALCIPARUM_STR_80217","Cambodia-Laos"
"FALCIPARUM_STR_96947","Cambodia-Laos"
"FALCIPARUM_STR_101317","Cambodia-Laos"
"FALCIPARUM_STR_50390","Cambodia-Laos"
"FALCIPARUM_STR_45967","Cambodia-Laos"
"FALCIPARUM_STR_83458","Cambodia-Laos"
"FALCIPARUM_STR_72310","Cambodia-Laos"
"FALCIPARUM_STR_70718","Cambodia-Laos"
"FALCIPARUM_STR_99473","Cambodia-Laos"
"FALCIPARUM_STR_40674","Cambodia-Laos"
"FALCIPARUM_STR_28816","Cambodia-Myanmar"
"FALCIPARUM_STR_28819","Cambodia-Myanmar"
"FALCIPARUM_STR_40914","Cambodia-Myanmar"
"FALCIPARUM_STR_38852","Cambodia-Myanmar"
"FALCIPARUM_STR_3857","Cambodia-Myanmar"
"FALCIPARUM_STR_22341","Cambodia-Myanmar"
"FALCIPARUM_STR_67470","Cambodia-Myanmar"
"FALCIPARUM_STR_84384","Cambodia-Myanmar"
"FALCIPARUM_STR_25920","Cambodia-Myanmar"
"FALCIPARUM_STR_21006","Cambodia-Myanmar"
"FALCIPARUM_STR_31184","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_49922","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_31148","Cambodia-PapuaNewGuinea"
