"Sample","Sample_id","Country","Year","Country_Origin"
"SRR1562971","Colombia_30102100443-A","Colombia",2012,"Colombia"
"SRR1562972","Peru3043_D87","Peru",2011,"Peru"
"SRR1562974","Thailand_VKPR-11","Thailand",2013,"Thailand"
"SRR1562975","Colombia_30102100439","Colombia",2012,"Colombia"
"SRR1564529","Myanmar_LZCH-4","Myanmar",2013,"Myanmar"
"SRR1564547","Myanmar_NB-16","Myanmar",NA,"Myanmar"
"SRR1564577","Myanmar_NB-13-1","Myanmar",NA,"Myanmar"
"SRR1564630","Peru3133","Peru",2011,"Peru"
"SRR1564660","Colombia_30102100489","Colombia",2013,"Colombia"
"SRR1564665","Colombia_30102100488","Colombia",2013,"Colombia"
"SRR1564670","Colombia_30102100448","Colombia",2012,"Colombia"
"SRR1567977","Colombia_30102100441-A","Colombia",2012,"Colombia"
"SRR1568013","Myanmar_NB-17","Myanmar",2012,"Myanmar"
"SRR1568077","Mexico_0202","Mexico",2002,"Mexico"
"SRR1568103","Thailand_VKBT-98","Thailand",2013,"Thailand"
"SRR1568110","Mexico_2008","Mexico",2008,"Mexico"
"SRR1568112","Colombia_30102100504","Colombia",2013,"Colombia"
"SRR1568114","Myanmar_LZCH-20","Myanmar",2013,"Myanmar"
"SRR1568117","Peru4023","Peru",2012,"Peru"
"SRR1568118","Colombia_30102100446","Colombia",2012,"Colombia"
"SRR1568122","Peru872","Peru",NA,"Peru"
"SRR1568123","Peru07","Peru",NA,"Peru"
"SRR1568126","Mexico_11402","Mexico",2002,"Mexico"
"SRR1568127","Mexico_7401","Mexico",2001,"Mexico"
"SRR1568128","Colombia_30111110026","Colombia",2013,"Colombia"
"SRR1568149","Peru257","Peru",2013,"Peru"
"SRR1568153","Mexico_2202","Mexico",2002,"Mexico"
"SRR1568154","Thailand_VKTS-37","Thailand",2012,"Thailand"
"SRR1568155","Colombia_30102100438-B","Colombia",2012,"Colombia"
"SRR1568158","Mexico_1302","Mexico",2002,"Mexico"
"SRR1568160","Colombia_30102100486","Colombia",2013,"Colombia"
"SRR1568162","Peru2025","Peru",2010,"Peru"
"SRR1568163","Peru3043_D0","Peru",2011,"Peru"
"SRR1568166","Peru00622","Peru",2011,"Peru"
"SRR1568169","Colombia_30102100490","Colombia",2013,"Colombia"
"SRR1568171","Colombia_30102100437","Colombia",2012,"Colombia"
"SRR1568174","Peru262","Peru",2013,"Peru"
"SRR1568177","PNG58","PNG",NA,"Papua New Guinea"
"SRR1568178","Peru99622","Peru",2011,"Peru"
"SRR1568180","Thailand_VKTS-45","Thailand",2012,"Thailand"
"SRR1568181","Mexico_4304","Mexico",2004,"Mexico"
"SRR1568183","DTS_0830","Peru",NA,"Peru"
"SRR1568186","Thailand_VKTS-36","Thailand",2012,"Thailand"
"SRR1568191","Peru00692","Peru",2011,"Peru"
"SRR1568192","Brazil32","Brazil",2011,"Brazil"
"SRR1568195","Peru858","Peru",NA,"Peru"
"SRR1568196","Peru260","Peru",2013,"Peru"
"SRR1568201","Mexico_12400","Mexico",2000,"Mexico"
"SRR1568204","Myanmar_LZCH-13","Myanmar",NA,"Myanmar"
"SRR1568205","Thailand_VKTS-52","Thailand",2013,"Thailand"
"SRR1568206","Peru1008","Peru",2010,"Peru"
"SRR1568207","Colombia_30102100445","Colombia",2012,"Colombia"
"SRR1568208","Thailand_VKTS-39","Thailand",2012,"Thailand"
"SRR1568211","Peru06","Peru",NA,"Peru"
"SRR1568213","Colombia_30102100485","Colombia",2013,"Colombia"
"SRR1568216","Peru00699","Peru",2011,"Peru"
"SRR1568218","Mexico_2003","Mexico",2003,"Mexico"
"SRR1568219","Mexico_15502","Mexico",2002,"Mexico"
"SRR1568221","Colombia_30101099040","Colombia",2012,"Colombia"
"SRR1568223","Mexico_8301","Mexico",2001,"Mexico"
"SRR1568225","Mexico_3902","Mexico",2002,"Mexico"
"SRR1568227","Colombia_30102100438-A","Colombia",2012,"Colombia"
"SRR1568229","Thailand_VKBT-99","Thailand",2013,"Thailand"
"SRR1568230","Colombia_30102100440","Colombia",2012,"Colombia"
"SRR1568231","Mexico_5002","Mexico",2002,"Mexico"
"SRR1568235","Colombia_30111110020","Colombia",2013,"Colombia"
"SRR1568236","Colombia_30103103280","Colombia",2013,"Colombia"
"SRR1568787","Peru3270_D59","Peru",2013,"Peru"
"SRR1573226","Colombia_30101099036","Colombia",2012,"Colombia"
